method;array_type;array_length;time_nanoseconds
COUNT_SORT;0;50;721
COUNT_SORT;0;50;695
COUNT_SORT;0;50;724
COUNT_SORT;0;50;647
COUNT_SORT;0;50;692
COUNT_SORT;0;50;693
COUNT_SORT;0;50;758
COUNT_SORT;0;50;197
COUNT_SORT;0;50;212
COUNT_SORT;0;50;220
COUNT_SORT;0;50;220
COUNT_SORT;0;50;188
COUNT_SORT;0;50;200
COUNT_SORT;0;50;203
COUNT_SORT;0;50;213
COUNT_SORT;0;50;184
COUNT_SORT;0;50;216
COUNT_SORT;0;50;215
COUNT_SORT;0;50;188
COUNT_SORT;0;50;225
COUNT_SORT;0;50;199
COUNT_SORT;1;50;8074
COUNT_SORT;1;50;2717
COUNT_SORT;1;50;2592
COUNT_SORT;1;50;2648
COUNT_SORT;1;50;2619
COUNT_SORT;1;50;2615
COUNT_SORT;1;50;2526
COUNT_SORT;1;50;2632
COUNT_SORT;1;50;2645
COUNT_SORT;1;50;2643
COUNT_SORT;1;50;2587
COUNT_SORT;1;50;2550
COUNT_SORT;1;50;2562
COUNT_SORT;1;50;2572
COUNT_SORT;1;50;2553
COUNT_SORT;1;50;2571
COUNT_SORT;1;50;2590
COUNT_SORT;1;50;2557
COUNT_SORT;1;50;2647
COUNT_SORT;1;50;2569
COUNT_SORT;1;50;2614
COUNT_SORT;1;50;2626
COUNT_SORT;1;50;2535
COUNT_SORT;1;50;2611
COUNT_SORT;1;50;2598
COUNT_SORT;1;50;2618
COUNT_SORT;1;50;2617
COUNT_SORT;1;50;2572
COUNT_SORT;1;50;2563
COUNT_SORT;1;50;2616
COUNT_SORT;1;50;2622
COUNT_SORT;1;50;2616
COUNT_SORT;1;50;2605
COUNT_SORT;1;50;2612
COUNT_SORT;1;50;2857
COUNT_SORT;1;50;2699
COUNT_SORT;1;50;2829
COUNT_SORT;1;50;2896
COUNT_SORT;1;50;2882
COUNT_SORT;1;50;2848
COUNT_SORT;1;50;2883
COUNT_SORT;1;50;2861
COUNT_SORT;1;50;2909
COUNT_SORT;1;50;2571
COUNT_SORT;1;50;2594
COUNT_SORT;1;50;2532
COUNT_SORT;1;50;2631
COUNT_SORT;1;50;2527
COUNT_SORT;1;50;2606
COUNT_SORT;1;50;2606
COUNT_SORT;2;50;2643
COUNT_SORT;2;50;2636
COUNT_SORT;2;50;2617
COUNT_SORT;2;50;2667
COUNT_SORT;2;50;2621
COUNT_SORT;2;50;2629
COUNT_SORT;2;50;2536
COUNT_SORT;2;50;2640
COUNT_SORT;2;50;2608
COUNT_SORT;2;50;2643
COUNT_SORT;2;50;2553
COUNT_SORT;2;50;2568
COUNT_SORT;2;50;2712
COUNT_SORT;2;50;2524
COUNT_SORT;2;50;2598
COUNT_SORT;2;50;2633
COUNT_SORT;2;50;2633
COUNT_SORT;2;50;2662
COUNT_SORT;2;50;2626
COUNT_SORT;2;50;2620
